id,entry_id,source_file,source_group,source_version
"55894","16319","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55895","16320","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55896","16320","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55897","16321","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55898","16321","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55899","16322","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55900","16322","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55901","16323","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55902","16323","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55903","16324","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55904","16324","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55905","16325","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55906","16325","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55907","16326","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55908","16326","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55909","16327","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55910","16327","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55911","16328","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55912","16328","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55913","16329","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55914","16329","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55915","16330","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55916","16330","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55917","16331","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55918","16331","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55919","16332","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55920","16332","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55921","16333","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55922","16333","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55923","16334","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55924","16334","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55925","16335","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55926","16335","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55927","16336","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55928","16336","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55929","16337","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
"55930","16337","js\vocabularies\minecraft_environment.js","other","2.2.3"
"55931","16337","js\vocabularies\minecraft\minecraft_words_full.js","minecraft","2.2.3"
"55932","16338","js\vocabularies\minecraft\minecraft_environment.js","minecraft","2.2.3"
